,Primary Team,Team Played,Points Won,Points Lost,Team This Week
1,BUF,LAR,31,10,TEN
10,LAR,BUF,10,31,ATL
8,BAL,NYJ,24,9,MIA
31,NYJ,BAL,9,24,CLE
18,CLE,CAR,26,24,NYJ
27,CAR,CLE,24,26,NYG
14,IND,HOU,29,29,JAC
29,HOU,IND,29,29,DEN
28,JAC,WAS,22,28,IND
17,WAS,JAC,28,22,DET
22,NE,MIA,7,20,PIT
12,MIA,NE,20,7,BAL
6,NO,ATL,27,26,TB
32,ATL,NO,26,27,LAR
4,PHI,DET,38,35,MIN
30,DET,PHI,35,38,WAS
19,PIT,CIN,23,20,NE
11,CIN,PIT,20,23,DAL
13,SF,CHI,10,19,SEA
25,CHI,SF,19,10,GB
9,GB,MIN,7,23,CHI
7,MIN,GB,23,7,PHI
2,KC,ARI,44,21,LAC
21,ARI,KC,21,44,LV
15,LV,LAC,19,24,ARI
5,LAC,LV,24,19,KC
23,NYG,TEN,21,20,CAR
16,TEN,NYG,20,21,BUF
3,TB,DAL,19,3,NO
24,DAL,TB,3,19,CIN
20,DEN,SEA,16,17,HOU
26,SEA,DEN,17,16,SF
